Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	35051.01	17644.81	53538.023	7154.653	500.0	3999	438.8173	269.80423	1045.0543	0.029815126	438.80972	269.8123	1044.7601	-0.15673451	5.020707	4.265243	14.612719	-12.867814	-446.97113	4674.742	552.79678606987
2	42097.71	22885.525	73328.86	8258.96	500.0	7999	1704.11	618.4635	7313.894	387.77127	1704.1061	618.4665	7313.5044	387.6535	10.179932	3.4655514	20.940432	-9.175176	-1722.8765	27759.527	1181.8223435878754
3	21863.55	19580.754	64295.473	5032.118	500.0	11999	2897.1917	1366.7042	12498.707	172.24365	2897.2515	1366.5718	12498.646	174.51862	8.419631	2.9109857	16.167248	-8.080991	-2917.8445	121619.06	1808.257287979126
4	59761.11	14302.689	86283.74	43468.977	500.0	15999	3460.2913	2674.5344	18109.24	115.411835	3460.0735	2674.8022	18108.295	118.704834	13.673274	4.590551	25.273788	-6.903823	-3471.2007	296572.22	2442.886201620102
5	56947.79	6877.2812	68508.87	46567.246	500.0	19999	4061.3047	4019.7585	20787.23	425.3771	4061.2324	4019.7705	20797.113	412.6662	19.762959	3.1020644	27.2877	-2.7002773	-4069.706	631392.4	3084.91211271286
6	59412.008	15334.048	97815.48	47167.652	500.0	23999	5089.927	5483.937	23070.7	468.464	5089.881	5483.9727	23070.262	479.88046	20.798906	3.0721471	27.811392	0.12650394	-5087.069	1031336.3	3741.089099884033
7	68815.81	27704.404	134301.97	46039.863	500.0	27999	5542.2515	6799.198	23709.926	416.03616	5542.719	6798.839	23708.684	388.98434	21.084574	3.0313125	28.425547	-4.5694447	-5534.926	1300974.1	4388.043989896774
8	73904.11	36261.996	136522.27	42748.598	500.0	31999	5954.025	7752.4067	24982.873	155.68298	5954.3135	7752.119	24930.387	153.62143	20.547758	3.025919	27.430069	1.6426105	-5944.415	1493980.2	5039.890378952026
9	57298.734	10794.42	82039.016	47535.914	500.0	35999	6143.668	8273.218	26273.76	81.701614	6143.764	8273.226	26271.693	54.360226	20.400959	3.0218594	27.100292	-0.9190178	-6132.579	2047933.5	5685.996246099472
10	63841.688	17463.023	105507.2	43461.36	500.0	39999	6059.619	8468.338	25380.275	199.2269	6059.732	8468.254	25357.771	189.36853	20.677305	3.0401936	28.219223	0.5846567	-6051.453	2508990.8	6332.7513518333435
11	58905.97	13463.978	92400.61	48720.508	500.0	43999	5949.058	8491.035	25496.385	322.37833	5949.155	8490.99	25549.066	312.03775	20.444904	3.0246935	28.157244	2.117035	-5941.2505	2676369.5	6988.031407117844
12	55203.277	12142.386	83953.06	40794.312	500.0	47999	5856.6934	8521.274	24242.639	214.29904	5856.706	8521.217	24235.98	218.20958	20.619637	3.040967	27.314087	2.2620363	-5847.317	2420228.0	7641.176429748535
13	63432.004	29053.889	134513.12	38705.246	500.0	51999	5784.194	8524.636	23722.55	118.093704	5784.4175	8524.497	23699.318	94.60477	21.026804	3.0348861	29.30119	-0.43881416	-5773.438	2649085.0	8300.44099020958
14	67010.42	22055.834	97194.4	42527.957	500.0	55999	5771.577	8615.34	23604.926	64.3582	5771.5513	8615.442	23561.895	38.993412	21.212666	3.0344112	28.055553	0.71466255	-5761.175	2530235.8	8950.40862941742
15	53817.14	6785.6426	63256.754	43927.457	500.0	59999	5872.4785	8608.23	24696.465	107.02458	5872.471	8608.279	24678.924	94.862	21.447208	3.0411854	28.141205	-0.9987211	-5866.1587	2671254.0	9600.336047649384
16	55915.04	6100.292	66462.67	46693.777	500.0	63999	5677.571	8481.128	23750.008	30.39295	5677.515	8481.225	23741.168	16.233608	21.331612	3.0270782	28.012484	0.14265156	-5670.632	2352881.2	10251.63603234291
17	53004.914	17519.355	91403.63	38236.535	500.0	67999	5672.681	8475.952	23631.123	171.94522	5672.7427	8475.992	23606.867	160.62315	21.565514	3.0130436	28.068611	2.2386036	-5663.971	2364532.0	10890.425910711288
18	61037.8	15395.733	87815.1	41976.1	500.0	71999	5652.281	8569.61	23733.395	13.43674	5652.4585	8569.571	23730.94	11.161173	21.695194	3.0316586	28.450806	-3.029234	-5645.682	2234080.2	11534.299273729324
19	58265.207	10101.46	76028.26	49146.723	500.0	75999	5707.847	8641.038	23464.896	186.1114	5707.881	8641.074	23444.87	197.95825	21.884752	3.0299904	29.24685	0.9148426	-5699.747	2274653.2	12176.289105176926
